	Species	Accession_IDs	segment	Genus	Sort	Isolate Sort	Original_Accession_String	Errors
536	Tomato leaf curl Taiwan virus	JQ867093	DNA-A	Begomovirus	5889.0	2.0	DNA-A: JQ867093	
537	Tomato leaf curl Taiwan virus	GU723730	DNA-A	Begomovirus	5890.0	3.0	DNA-A: GU723730	
538	Tomato leaf curl Taiwan virus	DQ866128	DNA-A	Begomovirus	5891.0	4.0	DNA-A: DQ866128	
539	Tomato leaf curl virus	AF084006	DNA-A	Begomovirus	5897.0	2.0	DNA-A: AF084006	
540	Tomato leaf curl virus	DQ629101	DNA-A	Begomovirus	5898.0	3.0	DNA-A: DQ629101	
541	Tomato leaf curl virus	FJ514798	DNA-A	Begomovirus	5899.0	4.0	DNA-A: FJ514798	
542	Tomato leaf curl virus	AY754812	DNA-A	Begomovirus	5900.0	5.0	DNA-A: AY754812	
543	Tomato severe leaf curl virus	JN680352	DNA-A	Begomovirus	5915.0	2.0	DNA-A: JN680352	
544	Tomato severe leaf curl virus	AJ508784	DNA-A	Begomovirus	5916.0	3.0	DNA-A: AJ508784	
545	Tomato yellow leaf curl China virus	AJ319675	DNA-A	Begomovirus	5923.0	2.0	DNA-A: AJ319675	
546	Tomato yellow leaf curl China virus	AJ457985	DNA-A	Begomovirus	5924.0	3.0	DNA-A: AJ457985	
547	Tomato yellow leaf curl China virus	AM980509	DNA-A	Begomovirus	5925.0	4.0	DNA-A: AM980509	
548	Tomato yellow leaf curl China virus	DQ256460	DNA-A	Begomovirus	5926.0	5.0	DNA-A: DQ256460	
549	Tomato yellow leaf curl China virus	AJ319674	DNA-A	Begomovirus	5927.0	6.0	DNA-A: AJ319674	
550	Tomato yellow leaf curl China virus	EF011559	DNA-A	Begomovirus	5928.0	7.0	DNA-A: EF011559	
551	Tomato yellow leaf curl Mali virus	DQ358913	DNA-A	Begomovirus	5934.0	2.0	DNA-A: DQ358913	
552	Tomato yellow leaf curl Mali virus	AY502934	DNA-A	Begomovirus	5935.0	3.0	DNA-A: AY502934	
553	Tomato yellow leaf curl Thailand virus	AY514630	DNA-A	Begomovirus	5939.0	2.0	DNA-A: AY514630	
554	Tomato yellow leaf curl Thailand virus	AJ495812	DNA-A	Begomovirus	5940.0	3.0	DNA-A: AJ495812	
555	Tomato yellow leaf curl Thailand virus	AF206674	DNA-A	Begomovirus	5941.0	4.0	DNA-A: AF206674	
556	Tomato yellow leaf curl Thailand virus	AY514632	DNA-A	Begomovirus	5942.0	5.0	DNA-A: AY514632	
557	Tomato yellow leaf curl virus	GU076454	DNA-A	Begomovirus	5945.0	2.0	DNA-A: GU076454	
558	Tomato yellow leaf curl virus	AJ132711	DNA-A	Begomovirus	5946.0	3.0	DNA-A: AJ132711	
559	Tomato yellow leaf curl virus	EU635776	DNA-A	Begomovirus	5947.0	4.0	DNA-A: EU635776	
560	Tomato yellow leaf curl virus	GU076442	DNA-A	Begomovirus	5948.0	5.0	DNA-A: GU076442	
561	Tomato yellow leaf curl virus	X76319	DNA-A	Begomovirus	5949.0	6.0	DNA-A: X76319	
562	Beet curly top virus	EU193175		Curtovirus	5987.0	2.0	EU193175	
563	Beet curly top virus	U02311		Curtovirus	5988.0	3.0	U02311	
564	Beet curly top virus	FJ545686		Curtovirus	5989.0	4.0	FJ545686	
565	Beet curly top virus	JN817383		Curtovirus	5990.0	5.0	JN817383	
566	Beet curly top virus	U56975		Curtovirus	5991.0	6.0	U56975	
567	Beet curly top virus	AY548948		Curtovirus	5992.0	7.0	AY548948	
568	Beet curly top virus	EF501977		Curtovirus	5993.0	8.0	EF501977	
569	Beet curly top virus	EU921828		Curtovirus	5994.0	9.0	EU921828	
570	Eragrostis curvula streak virus	FJ665630		Eragrovirus	5998.0	2.0	FJ665630	
571	Chickpea chlorosis virus	GU256531		Mastrevirus	6009.0	2.0	GU256531	
572	Chickpea chlorosis virus	JN989416		Mastrevirus	6010.0	3.0	JN989416	
573	Chickpea chlorosis virus	JN989426		Mastrevirus	6011.0	4.0	JN989426	
574	Chickpea chlorotic dwarf virus	FR687959		Mastrevirus	6013.0	2.0	FR687959	
575	Chickpea chlorotic dwarf virus	AM849097		Mastrevirus	6014.0	3.0	AM849097	
576	Chickpea chlorotic dwarf virus	FR687960		Mastrevirus	6015.0	4.0	FR687960	
577	Chickpea chlorotic dwarf virus	AM933135		Mastrevirus	6016.0	5.0	AM933135	
578	Digitaria ciliaris striate mosaic virus	JQ948091		Mastrevirus	6023.0	2.0	JQ948091	
579	Maize streak virus	EU628597		Mastrevirus	6033.0	2.0	EU628597	
580	Maize streak virus	AF007881		Mastrevirus	6034.0	3.0	AF007881	
581	Maize streak virus	AF329889		Mastrevirus	6035.0	4.0	AF329889	
582	Maize streak virus	EU628626		Mastrevirus	6036.0	5.0	EU628626	
583	Maize streak virus	EU628629		Mastrevirus	6037.0	6.0	EU628629	
584	Maize streak virus	EU628631		Mastrevirus	6038.0	7.0	EU628631	
585	Maize streak virus	EU628638		Mastrevirus	6039.0	8.0	EU628638	
586	Maize streak virus	EU628639		Mastrevirus	6040.0	9.0	EU628639	
587	Maize streak virus	EU628641		Mastrevirus	6041.0	10.0	EU628641	
588	Maize streak virus	EU628643		Mastrevirus	6042.0	11.0	EU628643	
589	Panicum streak virus	X60168		Mastrevirus	6048.0	2.0	X60168	
590	Panicum streak virus	EU224264		Mastrevirus	6049.0	3.0	EU224264	
591	Panicum streak virus	EU224265		Mastrevirus	6050.0	4.0	EU224265	
592	Panicum streak virus	GQ415391		Mastrevirus	6051.0	5.0	GQ415391	
593	Panicum streak virus	GQ415392		Mastrevirus	6052.0	6.0	GQ415392	
594	Panicum streak virus	GQ415395		Mastrevirus	6053.0	7.0	GQ415395	
595	Panicum streak virus	GQ415397		Mastrevirus	6054.0	8.0	GQ415397	
596	Panicum streak virus	GQ415399		Mastrevirus	6055.0	9.0	GQ415399	
597	Paspalum striate mosaic virus	JQ948069		Mastrevirus	6058.0	2.0	JQ948069	
598	Sugarcane streak Reunion virus	EU244916		Mastrevirus	6068.0	2.0	EU244916	
599	Sugarcane streak virus	EU244914		Mastrevirus	6070.0	2.0	EU244914	
600	Wheat dwarf virus	FJ620684		Mastrevirus	6079.0	2.0	FJ620684	
601	Wheat dwarf virus	JQ647455		Mastrevirus	6080.0	3.0	JQ647455	
602	Wheat dwarf virus	JN791096		Mastrevirus	6081.0	4.0	JN791096	
603	Wheat dwarf virus	AM040732		Mastrevirus	6082.0	5.0	AM040732	
604	Turnip curly top virus	KC108896		Turncurtovirus	6091.0	2.0	KC108896	
605	Turnip curly top virus	KC108905		Turncurtovirus	6092.0	3.0	KC108905	
606	Turnip curly top virus	KC108902		Turncurtovirus	6093.0	4.0	KC108902	
607	Alphachrysovirus cerasi	AJ781397	dsRNA1	Alphachrysovirus	6357.0	2.0	dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400	
608	Alphachrysovirus cerasi	AJ781398	dsRNA2	Alphachrysovirus	6357.0	2.0	dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400	
609	Alphachrysovirus cerasi	AJ781399	dsRNA3	Alphachrysovirus	6357.0	2.0	dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400	
610	Alphachrysovirus cerasi	AJ781400	dsRNA4	Alphachrysovirus	6357.0	2.0	dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400	
611	Alphachrysovirus helminthosporii	KY489954	dsRNA1	Alphachrysovirus	6363.0	2.0	dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957	
612	Alphachrysovirus helminthosporii	KY489955	dsRNA2	Alphachrysovirus	6363.0	2.0	dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957	
613	Alphachrysovirus helminthosporii	KY489956	dsRNA3	Alphachrysovirus	6363.0	2.0	dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957	
614	Alphachrysovirus helminthosporii	KY489957	dsRNA4	Alphachrysovirus	6363.0	2.0	dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957	
615	Alphachrysovirus isariae	MK279433	dsRNA1	Alphachrysovirus	6365.0	2.0	dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436	
616	Alphachrysovirus isariae	MK279434	dsRNA2	Alphachrysovirus	6365.0	2.0	dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436	
617	Alphachrysovirus isariae	MK279435	dsRNA3	Alphachrysovirus	6365.0	2.0	dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436	
618	Alphachrysovirus isariae	MK279436	dsRNA4	Alphachrysovirus	6365.0	2.0	dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436	
619	Alphachrysovirus penicillii	MG887760	dsRNA1	Alphachrysovirus	6368.0	2.0	dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211	
620	Alphachrysovirus penicillii	MG887761	dsRNA2	Alphachrysovirus	6368.0	2.0	dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211	
621	Alphachrysovirus penicillii	MG887762	dsRNA3	Alphachrysovirus	6368.0	2.0	dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211	
622	Alphachrysovirus penicillii	MH271211	dsRNA4	Alphachrysovirus	6368.0	2.0	dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211	
623	Alphachrysovirus penicillii	MK214380	dsRNA1	Alphachrysovirus	6369.0	3.0	dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383	
624	Alphachrysovirus penicillii	MK214381	dsRNA2	Alphachrysovirus	6369.0	3.0	dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383	
625	Alphachrysovirus penicillii	MK214382	dsRNA3	Alphachrysovirus	6369.0	3.0	dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383	
626	Alphachrysovirus penicillii	MK214383	dsRNA4	Alphachrysovirus	6369.0	3.0	dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383	
627	Alphachrysovirus penicillii	MK279429	dsRNA1	Alphachrysovirus	6370.0	4.0	dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432	
628	Alphachrysovirus penicillii	MK279430	dsRNA2	Alphachrysovirus	6370.0	4.0	dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432	
629	Alphachrysovirus penicillii	MK279431	dsRNA3	Alphachrysovirus	6370.0	4.0	dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432	
630	Alphachrysovirus penicillii	MK279432	dsRNA4	Alphachrysovirus	6370.0	4.0	dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432	
631	Alphachrysovirus shuangaoense	MF176309	dsRNA1	Alphachrysovirus	6377.0	2.0	dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312	
632	Alphachrysovirus shuangaoense	MF176310	dsRNA2	Alphachrysovirus	6377.0	2.0	dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312	
633	Alphachrysovirus shuangaoense	MF176311	dsRNA3	Alphachrysovirus	6377.0	2.0	dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312	
634	Alphachrysovirus shuangaoense	MF176312	dsRNA4	Alphachrysovirus	6377.0	2.0	dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312	
635	Betachrysovirus foxyspori	MN295964	dsRNA1	Betachrysovirus	6386.0	2.0	dsRNA1: MN295964; dsRNA2: MN295965; dsRNA3: MN295966; dsRNA4: MN295967	
636	Betachrysovirus foxyspori	MN295965	dsRNA2	Betachrysovirus	6386.0	2.0	dsRNA1: MN295964; dsRNA2: MN295965; dsRNA3: MN295966; dsRNA4: MN295967	
637	Betachrysovirus foxyspori	MN295966	dsRNA3	Betachrysovirus	6386.0	2.0	dsRNA1: MN295964; dsRNA2: MN295965; dsRNA3: MN295966; dsRNA4: MN295967	
638	Betachrysovirus foxyspori	MN295967	dsRNA4	Betachrysovirus	6386.0	2.0	dsRNA1: MN295964; dsRNA2: MN295965; dsRNA3: MN295966; dsRNA4: MN295967	
639	Betachrysovirus fugramineari	HQ228213	dsRNA1	Betachrysovirus	6388.0	2.0	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	
640	Betachrysovirus fugramineari	HQ228214	dsRNA2	Betachrysovirus	6388.0	2.0	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	
641	Betachrysovirus fugramineari	HQ228215	dsRNA3	Betachrysovirus	6388.0	2.0	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	
642	Betachrysovirus fugramineari	HQ228216	dsRNA4	Betachrysovirus	6388.0	2.0	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	
643	Betachrysovirus fugramineari	HQ228217	dsRNA5	Betachrysovirus	6388.0	2.0	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	
644	Betachrysovirus magnaporthis	AB824667	dsRNA1	Betachrysovirus	6390.0	2.0	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	
645	Betachrysovirus magnaporthis	AB824668	dsRNA2	Betachrysovirus	6390.0	2.0	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	
646	Betachrysovirus magnaporthis	AB824669	dsRNA3	Betachrysovirus	6390.0	2.0	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	
647	Betachrysovirus magnaporthis	AB824670	dsRNA4	Betachrysovirus	6390.0	2.0	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	
648	Betachrysovirus magnaporthis	AB824671	dsRNA5	Betachrysovirus	6390.0	2.0	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	
649	Rosellinia necatrix quadrivirus 1	AB744677	RNA1	Quadrivirus	6396.0	2.0	RNA1: AB744677; RNA2: AB744678; RNA3: AB744679; RNA4: AB744680	
650	Rosellinia necatrix quadrivirus 1	AB744678	RNA2	Quadrivirus	6396.0	2.0	RNA1: AB744677; RNA2: AB744678; RNA3: AB744679; RNA4: AB744680	
651	Rosellinia necatrix quadrivirus 1	AB744679	RNA3	Quadrivirus	6396.0	2.0	RNA1: AB744677; RNA2: AB744678; RNA3: AB744679; RNA4: AB744680	
652	Rosellinia necatrix quadrivirus 1	AB744680	RNA4	Quadrivirus	6396.0	2.0	RNA1: AB744677; RNA2: AB744678; RNA3: AB744679; RNA4: AB744680	
653	Rosellinia necatrix quadrivirus 1	AB771723	RNA3	Quadrivirus	6397.0	3.0	RNA3: AB771723	
654	Banna virus	AF168005	Seg1	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
655	Banna virus	AF134526	Seg2	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
656	Banna virus	AY549307	Seg3	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
657	Banna virus	AY549308	Seg4	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
658	Banna virus	AY549309	Seg5	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
659	Banna virus	AF168006	Seg6	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
660	Banna virus	AF052035	Seg7	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
661	Banna virus	AF052034	Seg8	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
662	Banna virus	AF052033	Seg9	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
663	Banna virus	AF052032	Seg10	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
664	Banna virus	AF052031	Seg11	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
665	Banna virus	AF052030	Seg12	Seadornavirus	6463.0	2.0	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	
666	Banna virus	AF134522	Seg1	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
667	Banna virus	AF134523	Seg2	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
668	Banna virus	AF052013	Seg7	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
669	Banna virus	AF052012	Seg8	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
670	Banna virus	AF052011	Seg9	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
671	Banna virus	AF052010	Seg10	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
672	Banna virus	AF052009	Seg11	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
673	Banna virus	AF052008	Seg12	Seadornavirus	6464.0	3.0	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	
674	Banna virus	AF134519	Seg1	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
675	Banna virus	AF134520	Seg2	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
676	Banna virus	AF134521	Seg6	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
677	Banna virus	AF052029	Seg7	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
678	Banna virus	AF052028	Seg8	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
679	Banna virus	AF052027	Seg9	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
680	Banna virus	AF052026	Seg10	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
681	Banna virus	AF052025	Seg11	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
682	Banna virus	AF052024	Seg12	Seadornavirus	6465.0	4.0	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	
683	Liao ning virus	AY317099	Seg1	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
684	Liao ning virus	AY317100	Seg2	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
685	Liao ning virus	AY317101	Seg3	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
686	Liao ning virus	AY317102	Seg4	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
687	Liao ning virus	AY317103	Seg5	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
688	Liao ning virus	AY317104	Seg6	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
689	Liao ning virus	AY317105	Seg7	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
690	Liao ning virus	AY317106	Seg8	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
691	Liao ning virus	AY317107	Seg9	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
692	Liao ning virus	AY317108	Seg10	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
693	Liao ning virus	AY317109	Seg11	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
694	Liao ning virus	AY317110	Seg12	Seadornavirus	6468.0	2.0	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	
695	Aquareovirus A	AF450318	Seg2	Aquareovirus	6470.0	2.0	Seg2: AF450318; Seg3: AF450319; Seg4: AF450320; Seg8: AF450321; Seg10: AF450322	
