	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
5366	5367.0	5	DNA-A: JN809816	Ageratum yellow vein virus	Complete genome	Begomovirus
5367	5368.0	6	DNA-A: JQ804985	Ageratum yellow vein virus	Complete genome	Begomovirus
5368	5369.0	7	DNA-A: EU487045	Ageratum yellow vein virus	Complete genome	Begomovirus
5369	5370.0	8	DNA-A: AB306314	Ageratum yellow vein virus	Complete genome	Begomovirus
5370	5371.0	9	DNA-A: AF307861	Ageratum yellow vein virus	Complete genome	Begomovirus
5371	5372.0	10	DNA-A: JN809820	Ageratum yellow vein virus	Complete genome	Begomovirus
5375	5376.0	2	DNA-A: EF544604	Alternanthera yellow vein virus	Complete genome	Begomovirus
5376	5377.0	3	DNA-A: EF544602	Alternanthera yellow vein virus	Complete genome	Begomovirus
5384	5385.0	2	DNA-A: JN419006	Bean golden mosaic virus	Complete genome	Begomovirus
5394	5395.0	2	DNA-A: EU589392	Bhendi yellow vein mosaic virus	Complete genome	Begomovirus
5395	5396.0	3	DNA-A: AJ002451	Bhendi yellow vein mosaic virus	Complete genome	Begomovirus
5396	5397.0	4	DNA-A: FJ179372	Bhendi yellow vein mosaic virus	Complete genome	Begomovirus
5397	5398.0	5	DNA-A: FJ176235	Bhendi yellow vein mosaic virus	Complete genome	Begomovirus
5419	5420.0	2	DNA-A: GU136803	Chilli leaf curl virus	Complete genome	Begomovirus
5420	5421.0	3	DNA-A: AJ875159	Chilli leaf curl virus	Complete genome	Begomovirus
5421	5422.0	4	DNA-A: DQ673859	Chilli leaf curl virus	Complete genome	Begomovirus
5422	5423.0	5	DNA-A: FJ345402	Chilli leaf curl virus	Complete genome	Begomovirus
5423	5424.0	6	DNA-A: DQ116878	Chilli leaf curl virus	Complete genome	Begomovirus
5426	5427.0	2	DNA-A: AY751753	Chino del tomate virus	Complete genome	Begomovirus
5427	5428.0	3	DNA-A: DQ347945	Chino del tomate virus	Complete genome	Begomovirus
5433	5434.0	2	DNA-A: FN396962; DNA-B: FN396963	Clerodendrum golden mosaic China virus	Complete genome	Begomovirus
5440	5441.0	2	DNA-A: FJ463902; DNA-B: FJ463901	Corchorus golden mosaic virus	Complete genome	Begomovirus
5447	5448.0	2	DNA-A: AY083351	Cotton leaf crumple virus	Complete genome	Begomovirus
5449	5450.0	2	DNA-A: GU112081	Cotton leaf curl Alabad virus	Complete genome	Begomovirus
5450	5451.0	3	DNA-A: GU112004	Cotton leaf curl Alabad virus	Complete genome	Begomovirus
5451	5452.0	4	DNA-A: FJ210467	Cotton leaf curl Alabad virus	Complete genome	Begomovirus
5452	5453.0	5	DNA-A: EU384575	Cotton leaf curl Alabad virus	Complete genome	Begomovirus
5456	5457.0	2	DNA-A: FN554540	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5457	5458.0	3	DNA-A: AJ542539	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5458	5459.0	4	DNA-A: FM210276	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5459	5460.0	5	DNA-A: AF155064	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5460	5461.0	6	DNA-A: AF014881	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5461	5462.0	7	DNA-A: FM164726	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5462	5463.0	8	DNA-A: AM701757	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5463	5464.0	9	DNA-A: EU024120	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5464	5465.0	10	DNA-A: EU432373	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5465	5466.0	11	DNA-A: FJ868828	Cotton leaf curl Gezira virus	Complete genome	Begomovirus
5467	5468.0	2	DNA-A: AM421522	Cotton leaf curl Kokhran virus	Complete genome	Begomovirus
5468	5469.0	3	DNA-A: HF549182	Cotton leaf curl Kokhran virus	Complete genome	Begomovirus
5469	5470.0	4	DNA-A: GU385879	Cotton leaf curl Kokhran virus	Complete genome	Begomovirus
5470	5471.0	5	DNA-A: FN552001	Cotton leaf curl Kokhran virus	Complete genome	Begomovirus
5472	5473.0	2	DNA-A: AJ002447	Cotton leaf curl Multan virus	Complete genome	Begomovirus
5473	5474.0	3	DNA-A: JN807763	Cotton leaf curl Multan virus	Complete genome	Begomovirus
5474	5475.0	4	DNA-A: AJ132430	Cotton leaf curl Multan virus	Complete genome	Begomovirus
5475	5476.0	5	DNA-A: EU365616	Cotton leaf curl Multan virus	Complete genome	Begomovirus
5476	5477.0	6	DNA-A: AF363011	Cotton leaf curl Multan virus	Complete genome	Begomovirus
5499	5500.0	2	DNA-A: AJ717542; DNA-B: AJ704949	East African cassava mosaic virus	Complete genome	Begomovirus
5500	5501.0	3	DNA-A: JX473582	East African cassava mosaic virus	Complete genome	Begomovirus
5501	5502.0	4	DNA-A: AY795983; DNA-B: AY795989	East African cassava mosaic virus	Complete genome	Begomovirus
5510	5511.0	2	DNA-A: AJ438936	Eupatorium yellow vein virus	Complete genome	Begomovirus
5511	5512.0	3	DNA-A: AB079766	Eupatorium yellow vein virus	Complete genome	Begomovirus
5512	5513.0	4	DNA-A: AB300463	Eupatorium yellow vein virus	Complete genome	Begomovirus
5513	5514.0	5	DNA-A: AB433979	Eupatorium yellow vein virus	Complete genome	Begomovirus
5520	5521.0	2	DNA-A: JF756676	Euphorbia yellow mosaic virus	Complete genome	Begomovirus
5530	5531.0	2	DNA-A: JX416174	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5531	5532.0	3	DNA-A: AB178945	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5532	5533.0	4	DNA-A: AB079765	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5533	5534.0	5	DNA-A: AB287441	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5534	5535.0	6	DNA-A: AB287440	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5535	5536.0	7	DNA-A: AB287439	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5536	5537.0	8	DNA-A: AB182261	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5537	5538.0	9	DNA-A: HM164545	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5538	5539.0	10	DNA-A: AB178946	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5539	5540.0	11	DNA-A: AB055009	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5540	5541.0	12	DNA-A: AB236325	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5541	5542.0	13	DNA-A: AB079689	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5542	5543.0	14	DNA-A: FJ434943	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5543	5544.0	15	DNA-A: HM164547	Honeysuckle yellow vein virus	Complete genome	Begomovirus
5547	5548.0	2	DNA-A: JF496657; DNA-B: JF496656	Indian cassava mosaic virus	Complete genome	Begomovirus
5548	5549.0	3	DNA-A: GQ924760; DNA-B: GQ924761	Indian cassava mosaic virus	Complete genome	Begomovirus
5549	5550.0	4	DNA-A: AJ575819	Indian cassava mosaic virus	Complete genome	Begomovirus
5555	5556.0	2	DNA-A: GU451249	Jatropha leaf curl virus	Complete genome	Begomovirus
5575	5576.0	2	DNA-A: AJ344452	Macroptilium yellow mosaic virus	Complete genome	Begomovirus
5588	5589.0	2	DNA-A: FN386459	Malvastrum yellow vein virus	Complete genome	Begomovirus
5589	5590.0	3	DNA-A: FN806779	Malvastrum yellow vein virus	Complete genome	Begomovirus
5594	5595.0	2	DNA-A: KC153490	Melon chlorotic leaf curl virus	Partial genome	Begomovirus
5595	5596.0	3	DNA-A: AF325497; DNA-B: AF325498	Melon chlorotic leaf curl virus	Complete genome	Begomovirus
5600	5601.0	2	DNA-A: AY508991; DNA-B: AY508992	Merremia mosaic virus	Complete genome	Begomovirus
5613	5614.0	2	DNA-A: FM210275	Okra yellow crinkle virus	Complete genome	Begomovirus
5614	5615.0	3	DNA-A: HE793424	Okra yellow crinkle virus	Complete genome	Begomovirus
5619	5620.0	2	DNA-A: AJ558125	Papaya leaf curl China virus	Complete genome	Begomovirus
5620	5621.0	3	DNA-A: FN256261	Papaya leaf curl China virus	Complete genome	Begomovirus
5621	5622.0	4	DNA-A: FN297834	Papaya leaf curl China virus	Complete genome	Begomovirus
5622	5623.0	5	DNA-A: AJ558117	Papaya leaf curl China virus	Complete genome	Begomovirus
5623	5624.0	6	DNA-A: GQ373254	Papaya leaf curl China virus	Complete genome	Begomovirus
5626	5627.0	2	DNA-A: JN817517	Papaya leaf curl virus	Complete genome	Begomovirus
5627	5628.0	3	DNA-A: JN135233	Papaya leaf curl virus	Complete genome	Begomovirus
5628	5629.0	4	DNA-A: JQ954859	Papaya leaf curl virus	Complete genome	Begomovirus
5629	5630.0	5	DNA-A: KF307208	Papaya leaf curl virus	Complete genome	Begomovirus
5630	5631.0	6	DNA-A: FJ593629	Papaya leaf curl virus	Complete genome	Begomovirus
5631	5632.0	7	DNA-A: FN678906	Papaya leaf curl virus	Complete genome	Begomovirus
5632	5633.0	8	DNA-A: AJ436992	Papaya leaf curl virus	Complete genome	Begomovirus
5633	5634.0	9	DNA-A: FN543112	Papaya leaf curl virus	Complete genome	Begomovirus
5634	5635.0	10	DNA-A: FM955601	Papaya leaf curl virus	Complete genome	Begomovirus
5635	5636.0	11	DNA-A: JQ407224	Papaya leaf curl virus	Complete genome	Begomovirus
5636	5637.0	12	DNA-A: JN807765	Papaya leaf curl virus	Complete genome	Begomovirus
5637	5638.0	13	DNA-A: HM143914	Papaya leaf curl virus	Complete genome	Begomovirus
5638	5639.0	14	DNA-A: DQ629102	Papaya leaf curl virus	Complete genome	Begomovirus
5649	5650.0	2	DNA-A: DQ116884	Pedilanthus leaf curl virus	Complete genome	Begomovirus
5650	5651.0	3	DNA-A: AM948961	Pedilanthus leaf curl virus	Complete genome	Begomovirus
5653	5654.0	2	DNA-A: AF149227	Pepper golden mosaic virus	Complete genome	Begomovirus
5654	5655.0	3	DNA-A: JQ743486	Pepper golden mosaic virus	Complete genome	Begomovirus
5657	5658.0	2	DNA-A: AM404179	Pepper leaf curl Bangladesh virus	Complete genome	Begomovirus
5658	5659.0	3	DNA-A: HM007096	Pepper leaf curl Bangladesh virus	Complete genome	Begomovirus
5659	5660.0	4	DNA-A: DQ116881	Pepper leaf curl Bangladesh virus	Complete genome	Begomovirus
5662	5663.0	2	DNA-A: AF414287	Pepper leaf curl virus	Complete genome	Begomovirus
5674	5675.0	2	DNA-A: AF039031; DNA-B: AF039032	Potato yellow mosaic virus	Complete genome	Begomovirus
5675	5676.0	3	DNA-A: AY965897	Potato yellow mosaic virus	Complete genome	Begomovirus
5676	5677.0	4	DNA-A: EU518935	Potato yellow mosaic virus	Complete genome	Begomovirus
5686	5687.0	2	DNA-A: AF408199	Rhynchosia golden mosaic virus	Partial genome	Begomovirus
5687	5688.0	3	DNA-A: EU339936; DNA-B: DQ356429	Rhynchosia golden mosaic virus	Complete genome	Begomovirus
5708	5709.0	2	DNA-A: U77963	Sida golden mosaic Florida virus	Complete genome	Begomovirus
5717	5718.0	2	DNA-A: HM585439; DNA-B: HM585440 	Sida micrantha mosaic virus	Complete genome	Begomovirus
5718	5719.0	3	DNA-A: JX415187	Sida micrantha mosaic virus	Complete genome	Begomovirus
5725	5726.0	2	DNA-A: AY090555	Sida mottle virus	Complete genome	Begomovirus
5748	5749.0	2	DNA-A: EU487031	Squash leaf curl China virus	Complete genome	Begomovirus
5749	5750.0	3	DNA-A: AM286794	Squash leaf curl China virus	Complete genome	Begomovirus
5750	5751.0	4	DNA-A: EU543562	Squash leaf curl China virus	Complete genome	Begomovirus
5756	5757.0	2	DNA-A: AJ579307	Sri Lankan cassava mosaic virus	Complete genome	Begomovirus
5772	5773.0	2	DNA-A: EU253456	Sweet potato leaf curl virus	Complete genome	Begomovirus
5773	5774.0	3	DNA-A: AJ132548	Sweet potato leaf curl virus	Complete genome	Begomovirus
5774	5775.0	4	DNA-A: FJ969829	Sweet potato leaf curl virus	Complete genome	Begomovirus
5775	5776.0	5	DNA-A: FJ515898	Sweet potato leaf curl virus	Complete genome	Begomovirus
5776	5777.0	6	DNA-A: AJ586885	Sweet potato leaf curl virus	Complete genome	Begomovirus
5777	5778.0	7	DNA-A: AB433786	Sweet potato leaf curl virus	Complete genome	Begomovirus
5778	5779.0	8	DNA-A: FJ969830	Sweet potato leaf curl virus	Complete genome	Begomovirus
5779	5780.0	9	DNA-A: HQ393456	Sweet potato leaf curl virus	Complete genome	Begomovirus
5780	5781.0	10	DNA-A: DQ644562	Sweet potato leaf curl virus	Complete genome	Begomovirus
5781	5782.0	11	DNA-A: HQ393447	Sweet potato leaf curl virus	Complete genome	Begomovirus
5782	5783.0	12	DNA-A: HQ393473	Sweet potato leaf curl virus	Complete genome	Begomovirus
5783	5784.0	13	DNA-A: HQ333138	Sweet potato leaf curl virus	Complete genome	Begomovirus
5784	5785.0	14	DNA-A: EF456744	Sweet potato leaf curl virus	Complete genome	Begomovirus
5802	5803.0	2	DNA-A: JN676150	Tomato chino La Paz virus	Complete genome	Begomovirus
5803	5804.0	3	DNA-A: AY339619	Tomato chino La Paz virus	Complete genome	Begomovirus
5808	5809.0	2	DNA-A: KC706561	Tomato chlorotic mottle virus	Complete genome	Begomovirus
5809	5810.0	3	DNA-A: AY090557	Tomato chlorotic mottle virus	Complete genome	Begomovirus
5824	5825.0	2	DNA-A: KF663698	Tomato leaf curl Bangalore virus	Complete genome	Begomovirus
5825	5826.0	3	DNA-A: AF295401	Tomato leaf curl Bangalore virus	Complete genome	Begomovirus
5826	5827.0	4	DNA-A: AF165098	Tomato leaf curl Bangalore virus	Complete genome	Begomovirus
5827	5828.0	5	DNA-A: DQ852623	Tomato leaf curl Bangalore virus	Complete genome	Begomovirus
5832	5833.0	2	DNA-A: JF681158	Tomato leaf curl China virus	Complete genome	Begomovirus
5833	5834.0	3	DNA-A: AJ558119	Tomato leaf curl China virus	Complete genome	Begomovirus
5834	5835.0	4	DNA-A: AJ704603	Tomato leaf curl China virus	Complete genome	Begomovirus
5836	5837.0	2	DNA-A: AM701761	Tomato leaf curl Comoros virus	Complete genome	Begomovirus
5839	5840.0	2	DNA-A: FR873228	Tomato leaf curl Ghana virus	Complete genome	Begomovirus
5849	5850.0	2	DNA-A: AB162141	Tomato leaf curl Java virus	Complete genome	Begomovirus
5859	5860.0	2	DNA-A: AJ865339	Tomato leaf curl Madagascar virus	Complete genome	Begomovirus
5874	5875.0	2	DNA-A: AB377113	Tomato leaf curl Philippines virus	Complete genome	Begomovirus
5875	5876.0	3	DNA-A: AB307731	Tomato leaf curl Philippines virus	Complete genome	Begomovirus
5883	5884.0	2	DNA-A: KC763630	Tomato leaf curl Sudan virus	Complete genome	Begomovirus
5884	5885.0	3	DNA-A: AY044139	Tomato leaf curl Sudan virus	Complete genome	Begomovirus
5885	5886.0	4	DNA-A: EF110891	Tomato leaf curl Sudan virus	Complete genome	Begomovirus
5888	5889.0	2	DNA-A: JQ867093	Tomato leaf curl Taiwan virus	Complete genome	Begomovirus
5889	5890.0	3	DNA-A: GU723730	Tomato leaf curl Taiwan virus	Complete genome	Begomovirus
5890	5891.0	4	DNA-A: DQ866128	Tomato leaf curl Taiwan virus	Complete genome	Begomovirus
5896	5897.0	2	DNA-A: AF084006	Tomato leaf curl virus	Complete genome	Begomovirus
5897	5898.0	3	DNA-A: DQ629101	Tomato leaf curl virus	Complete genome	Begomovirus
5898	5899.0	4	DNA-A: FJ514798	Tomato leaf curl virus	Complete genome	Begomovirus
5899	5900.0	5	DNA-A: AY754812	Tomato leaf curl virus	Complete genome	Begomovirus
5914	5915.0	2	DNA-A: JN680352	Tomato severe leaf curl virus	Complete genome	Begomovirus
5915	5916.0	3	DNA-A: AJ508784	Tomato severe leaf curl virus	Complete genome	Begomovirus
5922	5923.0	2	DNA-A: AJ319675	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5923	5924.0	3	DNA-A: AJ457985	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5924	5925.0	4	DNA-A: AM980509	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5925	5926.0	5	DNA-A: DQ256460	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5926	5927.0	6	DNA-A: AJ319674	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5927	5928.0	7	DNA-A: EF011559	Tomato yellow leaf curl China virus	Complete genome	Begomovirus
5933	5934.0	2	DNA-A: DQ358913	Tomato yellow leaf curl Mali virus	Complete genome	Begomovirus
5934	5935.0	3	DNA-A: AY502934	Tomato yellow leaf curl Mali virus	Complete genome	Begomovirus
5938	5939.0	2	DNA-A: AY514630	Tomato yellow leaf curl Thailand virus	Complete genome	Begomovirus
5939	5940.0	3	DNA-A: AJ495812	Tomato yellow leaf curl Thailand virus	Complete genome	Begomovirus
5940	5941.0	4	DNA-A: AF206674	Tomato yellow leaf curl Thailand virus	Complete genome	Begomovirus
5941	5942.0	5	DNA-A: AY514632	Tomato yellow leaf curl Thailand virus	Complete genome	Begomovirus
5944	5945.0	2	DNA-A: GU076454	Tomato yellow leaf curl virus	Complete genome	Begomovirus
5945	5946.0	3	DNA-A: AJ132711	Tomato yellow leaf curl virus	Complete genome	Begomovirus
5946	5947.0	4	DNA-A: EU635776	Tomato yellow leaf curl virus	Complete genome	Begomovirus
5947	5948.0	5	DNA-A: GU076442	Tomato yellow leaf curl virus	Complete genome	Begomovirus
5948	5949.0	6	DNA-A: X76319	Tomato yellow leaf curl virus	Complete genome	Begomovirus
5986	5987.0	2	EU193175	Beet curly top virus	Complete genome	Curtovirus
5987	5988.0	3	U02311	Beet curly top virus	Complete genome	Curtovirus
5988	5989.0	4	FJ545686	Beet curly top virus	Complete genome	Curtovirus
5989	5990.0	5	JN817383	Beet curly top virus	Complete genome	Curtovirus
5990	5991.0	6	U56975	Beet curly top virus	Complete genome	Curtovirus
5991	5992.0	7	AY548948	Beet curly top virus	Complete genome	Curtovirus
5992	5993.0	8	EF501977	Beet curly top virus	Complete genome	Curtovirus
5993	5994.0	9	EU921828	Beet curly top virus	Complete genome	Curtovirus
5997	5998.0	2	FJ665630	Eragrostis curvula streak virus	Complete genome	Eragrovirus
6008	6009.0	2	GU256531	Chickpea chlorosis virus	Complete genome	Mastrevirus
6009	6010.0	3	JN989416	Chickpea chlorosis virus	Complete genome	Mastrevirus
6010	6011.0	4	JN989426	Chickpea chlorosis virus	Complete genome	Mastrevirus
6012	6013.0	2	FR687959	Chickpea chlorotic dwarf virus	Complete genome	Mastrevirus
6013	6014.0	3	AM849097	Chickpea chlorotic dwarf virus	Complete genome	Mastrevirus
6014	6015.0	4	FR687960	Chickpea chlorotic dwarf virus	Complete genome	Mastrevirus
6015	6016.0	5	AM933135	Chickpea chlorotic dwarf virus	Complete genome	Mastrevirus
6022	6023.0	2	JQ948091	Digitaria ciliaris striate mosaic virus	Complete genome	Mastrevirus
6032	6033.0	2	EU628597	Maize streak virus	Complete genome	Mastrevirus
6033	6034.0	3	AF007881	Maize streak virus	Complete genome	Mastrevirus
6034	6035.0	4	AF329889	Maize streak virus	Complete genome	Mastrevirus
6035	6036.0	5	EU628626	Maize streak virus	Complete genome	Mastrevirus
6036	6037.0	6	EU628629	Maize streak virus	Complete genome	Mastrevirus
6037	6038.0	7	EU628631	Maize streak virus	Complete genome	Mastrevirus
6038	6039.0	8	EU628638	Maize streak virus	Complete genome	Mastrevirus
6039	6040.0	9	EU628639	Maize streak virus	Complete genome	Mastrevirus
6040	6041.0	10	EU628641	Maize streak virus	Complete genome	Mastrevirus
6041	6042.0	11	EU628643	Maize streak virus	Complete genome	Mastrevirus
6047	6048.0	2	X60168	Panicum streak virus	Complete genome	Mastrevirus
6048	6049.0	3	EU224264	Panicum streak virus	Complete genome	Mastrevirus
6049	6050.0	4	EU224265	Panicum streak virus	Complete genome	Mastrevirus
6050	6051.0	5	GQ415391	Panicum streak virus	Complete genome	Mastrevirus
6051	6052.0	6	GQ415392	Panicum streak virus	Complete genome	Mastrevirus
6052	6053.0	7	GQ415395	Panicum streak virus	Complete genome	Mastrevirus
6053	6054.0	8	GQ415397	Panicum streak virus	Complete genome	Mastrevirus
6054	6055.0	9	GQ415399	Panicum streak virus	Complete genome	Mastrevirus
6057	6058.0	2	JQ948069	Paspalum striate mosaic virus	Complete genome	Mastrevirus
6067	6068.0	2	EU244916	Sugarcane streak Reunion virus	Complete genome	Mastrevirus
6069	6070.0	2	EU244914	Sugarcane streak virus	Complete genome	Mastrevirus
6078	6079.0	2	FJ620684	Wheat dwarf virus	Complete genome	Mastrevirus
6079	6080.0	3	JQ647455	Wheat dwarf virus	Complete genome	Mastrevirus
6080	6081.0	4	JN791096	Wheat dwarf virus	Complete genome	Mastrevirus
6081	6082.0	5	AM040732	Wheat dwarf virus	Complete genome	Mastrevirus
6090	6091.0	2	KC108896	Turnip curly top virus	Complete genome	Turncurtovirus
6091	6092.0	3	KC108905	Turnip curly top virus	Complete genome	Turncurtovirus
6092	6093.0	4	KC108902	Turnip curly top virus	Complete genome	Turncurtovirus
6356	6357.0	2	dsRNA1: AJ781397; dsRNA2: AJ781398; dsRNA3: AJ781399; dsRNA4: AJ781400	Alphachrysovirus cerasi	Complete genome	Alphachrysovirus
6362	6363.0	2	dsRNA1: KY489954; dsRNA2: KY489955; dsRNA3: KY489956; dsRNA4: KY489957	Alphachrysovirus helminthosporii	Complete genome	Alphachrysovirus
6364	6365.0	2	dsRNA1: MK279433; dsRNA2: MK279434; dsRNA3: MK279435; dsRNA4: MK279436	Alphachrysovirus isariae	Complete genome	Alphachrysovirus
6367	6368.0	2	dsRNA1: MG887760; dsRNA2: MG887761; dsRNA3: MG887762; dsRNA4: MH271211	Alphachrysovirus penicillii	Complete genome	Alphachrysovirus
6368	6369.0	3	dsRNA1: MK214380; dsRNA2: MK214381; dsRNA3: MK214382; dsRNA4: MK214383	Alphachrysovirus penicillii	Complete genome	Alphachrysovirus
6369	6370.0	4	dsRNA1: MK279429; dsRNA2: MK279430; dsRNA3: MK279431; dsRNA4: MK279432	Alphachrysovirus penicillii	Complete genome	Alphachrysovirus
6376	6377.0	2	dsRNA1: MF176309; dsRNA2: MF176310; dsRNA3: MF176311; dsRNA4: MF176312	Alphachrysovirus shuangaoense	Complete genome	Alphachrysovirus
6385	6386.0	2	dsRNA1: MN295964; dsRNA2: MN295965; dsRNA3: MN295966; dsRNA4: MN295967	Betachrysovirus foxyspori	Complete genome	Betachrysovirus
6387	6388.0	2	dsRNA1: HQ228213; dsRNA2: HQ228214; dsRNA3: HQ228215; dsRNA4: HQ228216; dsRNA5: HQ228217	Betachrysovirus fugramineari	Complete genome	Betachrysovirus
6389	6390.0	2	dsRNA1: AB824667; dsRNA2: AB824668; dsRNA3: AB824669; dsRNA4: AB824670; dsRNA5: AB824671	Betachrysovirus magnaporthis	Complete genome	Betachrysovirus
6395	6396.0	2	RNA1: AB744677; RNA2: AB744678; RNA3: AB744679; RNA4: AB744680	Rosellinia necatrix quadrivirus 1	Complete genome	Quadrivirus
6396	6397.0	3	RNA3: AB771723	Rosellinia necatrix quadrivirus 1	Partial genome	Quadrivirus
6462	6463.0	2	Seg1: AF168005; Seg2: AF134526; Seg3: AY549307; Seg4: AY549308; Seg5: AY549309; Seg6: AF168006; Seg7: AF052035; Seg8: AF052034; Seg9: AF052033; Seg10: AF052032; Seg11: AF052031; Seg12: AF052030	Banna virus	Complete genome	Seadornavirus
6463	6464.0	3	Seg1: AF134522; Seg2: AF134523; Seg7: AF052013; Seg8: AF052012; Seg9: AF052011; Seg10: AF052010; Seg11: AF052009;Seg12: AF052008	Banna virus	Partial genome	Seadornavirus
6464	6465.0	4	Seg1: AF134519; Seg2: AF134520; Seg6: AF134521; Seg7: AF052029; Seg8: AF052028; Seg9: AF052027; Seg10: AF052026; Seg11: AF052025; Seg12: AF052024	Banna virus	Partial genome	Seadornavirus
6467	6468.0	2	Seg1: AY317099; Seg2: AY317100; Seg3: AY317101; Seg4: AY317102; Seg5: AY317103; Seg6: AY317104; Seg7: AY317105; Seg8: AY317106; Seg9: AY317107; Seg10: AY317108; Seg11: AY317109; Seg12: AY317110	Liao ning virus	Complete genome	Seadornavirus
6469	6470.0	2	Seg2: AF450318; Seg3: AF450319; Seg4: AF450320; Seg8: AF450321; Seg10: AF450322	Aquareovirus A	Partial genome	Aquareovirus
6472	6473.0	2	Seg1: KC201166; Seg2: KC201167; Seg3: KC201168; Seg4: KC201169; Seg5: KC201170; Seg6: KC201171; Seg7: KC201172; Seg8: KC201173; Seg9: KC201174; Seg10: KC201175; Seg11: KC201176	Aquareovirus C	Complete genome	Aquareovirus
6483	6484.0	2	Seg1: KR704197; Seg2: KR704195; Seg3: KR704198; Seg4: KR704199; Seg5: KR704200; Seg6: KR704201; Seg7: KR815454; Seg8: KR704202; Seg9: KR704203; Seg10: KR704196	Cypovirus 1	Complete genome	Cypovirus
6484	6485.0	3	Seg1: AY163247; Seg2: AY147187; Seg3: AY167578; Seg4: AF542082; Seg5: AY163248; Seg6: AY177408; Seg7: AY180906; Seg8: AY211092; Seg9: AY211093; Seg10: AY204878	Cypovirus 1	Complete genome	Cypovirus
6495	6496.0	2		Cypovirus 4	No entry in Genbank	Cypovirus
6496	6497.0	3	Seg6: EF062995; Seg7: DQ512389; Seg8: DQ975382; Seg10: AY212272	Cypovirus 4	Partial genome	Cypovirus
6498	6499.0	2	Seg1: KC588356; Seg2: KC588357; Seg3: KC588358; Seg4: KC588359; Seg5: KC588360; Seg6: KC588361; Seg7: KC588362; Seg8: KC588363; Seg9: KC588364; Seg10: KC588365	Cypovirus 5	Complete genome	Cypovirus
6518	6519.0	2		Idnoreovirus 5	No entry in Genbank	Idnoreovirus
6523	6524.0	2	S3: AY444910	Avian orthoreovirus	Partial genome	Orthoreovirus
6524	6525.0	3	L1: KF809662; L2: KF809663; L3: KF809664; M1: KF809665; M2: KF809666; M3: KF809667; S1: KF809668; S2: KF809669; S3: KF809670; S4: KF809671	Avian orthoreovirus	Complete genome	Orthoreovirus
6525	6526.0	4	L1: JX478260; L2: JX478261; L3: JX478262; M1: JX478263; M2: JX478264; M3: JX478265; S1: JX478266; S2: JX478267; S3: JX478268; S4: JX478269	Avian orthoreovirus	Complete genome	Orthoreovirus
6526	6527.0	5	L1: JX145328; L2: JX145329; L3: JX145330; M1: JX145331; M2: JX145332; M3: JX145333; S1: JX145334; S2: JX145335; S3: JX145336; S4: JX145337	Avian orthoreovirus	Complete genome	Orthoreovirus
6531	6532.0	2	L1: KX263307; L2: KX263308; L3: KX263309; M1: KX263310; M2: KX263311; M3: KX263312; S1: KX263313; S2: KX263314; S3: KX263315; S4: KX263316	Mammalian orthoreovirus	Complete genome	Orthoreovirus
6532	6533.0	3	L1: JX204738; L2: JX204739; L3: JX204740; M1: JX204741; M2: JX204742; M3: JX204743; S1: JX204737; S2: JX204744; S3: JX204745; S4: JX204746	Mammalian orthoreovirus	Complete genome	Orthoreovirus
6533	6534.0	4	L1: AF368033; M2: AF368034; S1: AF368035; S2: AF368036; S4: AF368037	Mammalian orthoreovirus	Partial genome	Orthoreovirus
6535	6536.0	2	S1: JF811580; S2: JF811581; S3: JF811582; S4: JF811583	Nelson Bay orthoreovirus	Partial genome	Orthoreovirus
6536	6537.0	3	S1: AF218360; S2: AF059718; S3: AF059726; S4: AF059722	Nelson Bay orthoreovirus	Partial genome	Orthoreovirus
6538	6539.0	2	S1: EU252582; S2: EU189200; S3: EU189201; S4: EU189202	Neoavian orthoreovirus	Partial genome	Orthoreovirus
